year day bgsex bgsey bgsez
2019 48 3.856 1.538 -1.009
2019 48 3.841 1.764 -0.697
2019 48 3.850 1.746 -0.714
2019 48 3.841 1.774 -0.835
2019 48 3.955 1.778 -0.847
2019 48 4.070 1.640 -0.968
2019 48 4.023 1.679 -0.977
2019 48 4.087 1.562 -0.801
2019 48 4.162 1.561 -0.745
2019 48 4.059 1.472 -0.799
2019 48 4.040 1.443 -0.879
2019 48 3.988 1.273 -0.964
2019 48 4.067 1.249 -0.941
2019 48 4.077 1.217 -0.969
2019 48 4.103 1.116 -0.880
2019 48 4.107 1.086 -0.877
2019 48 4.208 1.076 -0.975
2019 48 4.215 1.233 -0.979
2019 48 4.236 1.330 -0.952
2019 48 4.230 1.361 -0.911
2019 48 4.174 1.359 -0.940
2019 48 4.212 1.290 -0.872
2019 48 4.282 1.492 -0.780
2019 48 4.272 1.346 -0.821
2019 48 4.116 1.727 -0.766
2019 48 4.115 1.631 -0.715
2019 48 4.164 1.498 -0.613
2019 48 4.214 1.525 -0.725
2019 48 4.145 1.614 -0.710
2019 48 4.075 1.663 -0.609
2019 48 4.184 1.668 -0.590
2019 48 4.206 1.738 -0.556
2019 48 4.089 1.648 -0.618
2019 48 4.213 1.424 -0.672
2019 48 4.208 1.139 -0.795
2019 48 4.316 1.268 -0.852
2019 48 4.104 1.982 -0.617
2019 48 4.105 2.050 -0.513
2019 48 4.110 2.264 -0.490
2019 48 4.138 2.308 -0.560
2019 48 4.001 2.438 -0.435
2019 48 4.007 2.469 -0.437
2019 48 3.955 2.345 -0.311
2019 48 3.988 2.385 -0.221
2019 48 4.117 2.372 -0.261
2019 48 4.148 2.355 -0.156
2019 48 4.170 2.449 -0.001
2019 48 4.147 2.431 0.050
2019 48 4.153 2.388 0.009
2019 48 4.190 2.343 -0.057
2019 48 4.228 2.249 -0.012
2019 48 4.281 2.281 0.030
2019 48 4.251 1.975 -0.080
2019 48 3.966 2.123 -0.297
2019 48 3.973 2.254 -0.286
2019 48 3.835 2.320 -0.146
2019 48 3.770 2.309 -0.417
2019 48 3.854 2.297 -0.416
2019 48 3.816 2.489 -0.461
2019 48 4.045 2.208 -0.312
2019 48 4.154 2.055 -0.278
2019 48 4.072 2.048 0.012
2019 48 4.005 2.328 -0.109
2019 48 4.071 2.249 -0.088
2019 48 4.102 2.215 0.001
2019 48 4.198 2.067 -0.250
2019 48 4.245 1.674 -0.616
